Timestamp,Milliseconds,centimeters
2019-10-27 21:45:01,130002,8.0
2019-10-27 21:45:02,131002,8.0
2019-10-27 21:45:03,132001,8.0
2019-10-27 21:45:04,133001,8.0
2019-10-27 21:45:05,134002,8.0
2019-10-27 21:45:06,135001,8.0
2019-10-27 21:45:07,136001,8.0
2019-10-27 21:45:08,137002,8.0
2019-10-27 21:45:09,138001,8.0
2019-10-27 21:45:10,139001,8.0
2019-10-27 21:45:11,140002,8.0
2019-10-27 21:45:12,141001,8.0
2019-10-27 21:45:13,142002,8.0
2019-10-27 21:45:14,143002,8.0
2019-10-27 21:45:15,144001,8.0
2019-10-27 21:45:16,145001,8.0
2019-10-27 21:45:17,146002,8.0
2019-10-27 21:45:18,147001,8.0
2019-10-27 21:45:19,148001,8.0
2019-10-27 21:45:20,149001,8.0
2019-10-27 21:45:21,150002,8.0
2019-10-27 21:45:22,151001,8.0
2019-10-27 21:45:23,152001,8.0
2019-10-27 21:45:24,153002,8.0
2019-10-27 21:45:25,154001,8.0
2019-10-27 21:45:26,155002,8.0
2019-10-27 21:45:27,156001,8.0
2019-10-27 21:45:28,157001,8.0
2019-10-27 21:45:29,158001,8.0
2019-10-27 21:45:30,159002,8.0
2019-10-27 21:45:31,160001,8.0
2019-10-27 21:45:32,161001,8.0
2019-10-27 21:45:33,162002,8.0
2019-10-27 21:45:34,163001,8.0
2019-10-27 21:45:35,164001,8.0
2019-10-27 21:45:36,165001,8.0
2019-10-27 21:45:37,166002,8.0
2019-10-27 21:45:38,167002,8.0
2019-10-27 21:45:39,168001,8.0
2019-10-27 21:45:40,169001,8.0
2019-10-27 21:45:41,170001,8.0
2019-10-27 21:45:42,171002,8.0
2019-10-27 21:45:43,172001,8.0
2019-10-27 21:45:44,173002,8.0
2019-10-27 21:45:45,174001,8.0
2019-10-27 21:45:46,175002,8.0
2019-10-27 21:45:47,176001,8.0
2019-10-27 21:45:48,177002,8.0
2019-10-27 21:45:49,178001,8.0
2019-10-27 21:45:50,179001,8.0
2019-10-27 21:45:51,180001,8.0
2019-10-27 21:45:52,181001,8.0
2019-10-27 21:45:53,182002,8.0
2019-10-27 21:45:54,183001,8.0
2019-10-27 21:45:55,184002,8.0
2019-10-27 21:45:56,185001,8.0
2019-10-27 21:45:57,186002,8.0
2019-10-27 21:45:58,187001,8.0
2019-10-27 21:45:59,188001,8.0
2019-10-27 21:46:00,189002,8.0
2019-10-27 21:46:01,190001,8.0
2019-10-27 21:46:02,191001,8.0
2019-10-27 21:46:03,192002,8.0
2019-10-27 21:46:04,193001,8.0
2019-10-27 21:46:05,194001,8.0
2019-10-27 21:46:06,195001,8.0
2019-10-27 21:46:07,196001,8.0
2019-10-27 21:46:08,197001,8.0
2019-10-27 21:46:09,198001,8.0
2019-10-27 21:46:10,199002,8.0
2019-10-27 21:46:11,200001,8.0
2019-10-27 21:46:12,201001,8.0
2019-10-27 21:46:13,202002,8.0
2019-10-27 21:46:14,203001,8.0
2019-10-27 21:46:15,204002,8.0
2019-10-27 21:46:16,205001,8.0
2019-10-27 21:46:17,206001,8.0
2019-10-27 21:46:18,207002,8.0
2019-10-27 21:46:19,208001,8.0
2019-10-27 21:46:20,209001,8.0
2019-10-27 21:46:21,210001,8.0
2019-10-27 21:46:22,211002,8.0
2019-10-27 21:46:23,212001,8.0
2019-10-27 21:46:24,213001,8.0
2019-10-27 21:46:25,214002,8.0
2019-10-27 21:46:26,215001,8.0
2019-10-27 21:46:27,216001,8.0
2019-10-27 21:46:28,217002,8.0
2019-10-27 21:46:29,218001,8.0
2019-10-27 21:46:30,219001,8.0
2019-10-27 21:46:31,220002,8.0
2019-10-27 21:46:32,221001,8.0
2019-10-27 21:46:33,222002,8.0
2019-10-27 21:46:34,223001,8.0
2019-10-27 21:46:35,224001,8.0
2019-10-27 21:46:36,225002,8.0
2019-10-27 21:46:37,226001,8.0
2019-10-27 21:46:38,227001,8.0
2019-10-27 21:46:39,228002,8.0
2019-10-27 21:46:40,229001,8.0
2019-10-27 21:46:41,230001,8.0
