Timestamp,Milliseconds,centimeters
2019-10-26 22:37:27,112002,8.0
2019-10-26 22:37:28,113002,8.0
2019-10-26 22:37:29,114003,8.0
2019-10-26 22:37:30,115002,8.0
2019-10-26 22:37:31,116002,8.0
2019-10-26 22:37:32,117003,8.0
2019-10-26 22:37:33,118002,8.0
2019-10-26 22:37:34,119002,8.0
2019-10-26 22:37:35,120003,8.0
2019-10-26 22:37:36,121002,8.0
2019-10-26 22:37:37,122002,8.0
2019-10-26 22:37:38,123003,8.0
2019-10-26 22:37:39,124002,8.0
2019-10-26 22:37:40,125002,8.0
2019-10-26 22:37:41,126003,8.0
2019-10-26 22:37:42,127002,8.0
2019-10-26 22:37:43,128002,8.0
2019-10-26 22:37:44,129002,8.0
2019-10-26 22:37:45,130004,8.0
2019-10-26 22:37:46,131003,8.0
2019-10-26 22:37:47,132016,8.0
2019-10-26 22:37:48,133002,8.0
2019-10-26 22:37:49,134002,8.0
2019-10-26 22:37:50,135002,8.0
2019-10-26 22:37:51,136002,8.0
2019-10-26 22:37:52,137003,8.0
2019-10-26 22:37:53,138002,8.0
2019-10-26 22:37:54,139002,8.0
2019-10-26 22:37:55,140002,8.0
2019-10-26 22:37:56,141002,8.0
2019-10-26 22:37:57,142002,8.0
2019-10-26 22:37:58,143002,8.0
2019-10-26 22:37:59,144002,8.0
2019-10-26 22:38:00,145005,8.0
2019-10-26 22:38:01,146002,8.0
2019-10-26 22:38:02,147002,8.0
2019-10-26 22:38:03,148003,8.0
2019-10-26 22:38:04,149002,8.0
2019-10-26 22:38:05,150002,8.0
2019-10-26 22:38:06,151002,8.0
2019-10-26 22:38:07,152002,8.0
2019-10-26 22:38:08,153002,8.0
2019-10-26 22:38:09,154002,8.0
2019-10-26 22:38:10,155002,8.0
2019-10-26 22:38:11,156003,8.0
2019-10-26 22:38:12,157002,8.0
2019-10-26 22:38:13,158042,8.0
