Timestamp,Milliseconds,Illuminance
2019-10-27 17:21:57,4542001,81.0
2019-10-27 17:21:58,4543002,81.0
2019-10-27 17:21:59,4544001,81.0
2019-10-27 17:22:00,4545001,81.0
2019-10-27 17:22:01,4546002,81.0
2019-10-27 17:22:02,4547001,81.0
2019-10-27 17:22:03,4548001,81.0
2019-10-27 17:22:04,4549002,81.0
2019-10-27 17:22:05,4550001,81.0
2019-10-27 17:22:06,4551002,81.0
2019-10-27 17:22:07,4552001,81.0
2019-10-27 17:22:08,4553001,81.0
2019-10-27 17:22:09,4554001,81.0
2019-10-27 17:22:10,4555002,81.0
2019-10-27 17:22:11,4556001,81.0
2019-10-27 17:22:12,4557001,81.0
2019-10-27 17:22:13,4558001,80.0
2019-10-27 17:22:14,4559002,81.0
2019-10-27 17:22:15,4560001,81.0
2019-10-27 17:22:16,4561001,81.0
2019-10-27 17:22:17,4562002,81.0
2019-10-27 17:22:18,4563001,81.0
2019-10-27 17:22:19,4564001,81.0
2019-10-27 17:22:20,4565002,81.0
2019-10-27 17:22:21,4566001,81.0
2019-10-27 17:22:22,4567001,81.0
2019-10-27 17:22:23,4568002,81.0
2019-10-27 17:22:24,4569001,81.0
2019-10-27 17:22:25,4570001,81.0
2019-10-27 17:22:26,4571001,81.0
2019-10-27 17:22:27,4572001,81.0
2019-10-27 17:22:28,4573002,80.0
2019-10-27 17:22:29,4574001,81.0
2019-10-27 17:22:30,4575002,80.0
2019-10-27 17:22:31,4576001,80.0
2019-10-27 17:22:32,4577001,81.0
2019-10-27 17:22:33,4578002,81.0
2019-10-27 17:22:34,4579001,81.0
2019-10-27 17:22:35,4580002,81.0
2019-10-27 17:22:36,4581001,81.0
2019-10-27 17:22:37,4582001,81.0
2019-10-27 17:22:38,4583002,81.0
2019-10-27 17:22:39,4584001,81.0
2019-10-27 17:22:40,4585001,81.0
2019-10-27 17:22:41,4586001,81.0
2019-10-27 17:22:42,4587002,81.0
2019-10-27 17:22:43,4588001,81.0
2019-10-27 17:22:44,4589001,81.0
2019-10-27 17:22:45,4590001,81.0
2019-10-27 17:22:46,4591002,81.0
2019-10-27 17:22:47,4592001,81.0
2019-10-27 17:22:48,4593001,80.0
2019-10-27 17:22:49,4594006,80.0
2019-10-27 17:22:50,4595001,80.0
2019-10-27 17:22:51,4596002,80.0
2019-10-27 17:22:52,4597002,81.0
2019-10-27 17:22:53,4598001,81.0
2019-10-27 17:22:57,4601856,81.0
2019-10-27 17:22:57,4601856,81.0
2019-10-27 17:22:57,4601856,81.0
2019-10-27 17:22:57,4602001,81.0
2019-10-27 17:22:59,4603113,81.0
2019-10-27 17:22:59,4604001,80.0
2019-10-27 17:23:00,4605001,80.0
2019-10-27 17:23:01,4606001,80.0
2019-10-27 17:23:08,4612162,80.0
2019-10-27 17:23:08,4612162,80.0
2019-10-27 17:23:08,4612162,80.0
2019-10-27 17:23:08,4612162,80.0
2019-10-27 17:23:08,4612162,80.0
2019-10-27 17:23:08,4612162,80.0
2019-10-27 17:23:08,4613001,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4620895,80.0
2019-10-27 17:23:16,4621001,80.0
2019-10-27 17:23:17,4622001,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4632480,80.0
2019-10-27 17:23:28,4633001,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4664123,80.0
2019-10-27 17:24:00,4665001,80.0
2019-10-27 17:24:01,4666001,81.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4682456,80.0
2019-10-27 17:24:18,4683002,80.0
2019-10-27 17:24:19,4684001,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4711397,80.0
2019-10-27 17:24:47,4712001,80.0
2019-10-27 17:24:48,4713001,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4724365,80.0
2019-10-27 17:25:00,4725002,80.0
2019-10-27 17:25:01,4726001,80.0
2019-10-27 17:25:02,4727001,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
